epoch,accuracy,loss,val_accuracy,val_loss
0,0.38195404,1.32682303101476,0.42939481139183044,1.2807610278857888
1,0.6352062,0.9784382444948428,0.6858789920806885,0.8877036631622645
2,0.79739827,0.566829174773501,0.7089337110519409,0.7588207527608624
3,0.8524772,0.39778989885871574,0.7146974205970764,0.7842894299573101
4,0.8884584,0.30858502429573614,0.6858789920806885,0.8294050466773832
5,0.9144755,0.2466299599049463,0.7002881765365601,0.8635883755573965
6,0.93578744,0.2039883223421812,0.7146974205970764,0.937775483392501
7,0.9468586,0.16946268453059882,0.6743515729904175,0.9910991353329046
8,0.9532245,0.14373204048125987,0.7002881765365601,1.0047067142700943
9,0.9604207,0.1294818037052152,0.6945244669914246,1.0869914413529103
10,0.96457237,0.11822904210043785,0.6858789920806885,1.1349044799461145
11,0.9681705,0.10354143559701746,0.6743515729904175,1.1580566363650715
12,0.97121507,0.09542080510893325,0.680115282535553,1.2219722899648573
13,0.9703847,0.0885746769592632,0.680115282535553,1.2709056547808029
14,0.9717686,0.08530583192016687,0.6743515729904175,1.3756478808455233
15,0.9731525,0.07909705636493393,0.6714697480201721,1.3118188831235902
16,0.9756435,0.07203561618280747,0.6772334575653076,1.3722865725800353
17,0.9742596,0.07225752918272922,0.6772334575653076,1.3758953912800946
18,0.97647387,0.06726823497224375,0.6772334575653076,1.3917810088962919
19,0.97592026,0.06289587333414846,0.6829971075057983,1.4066933915663178
20,0.9756435,0.06934425297484251,0.6685879230499268,1.3826142401791444
21,0.97868806,0.0591015046590786,0.680115282535553,1.523984461078039
22,0.9767506,0.056523102276087006,0.6743515729904175,1.491136092273921
23,0.9778577,0.06348954509544696,0.6685879230499268,1.5391278071087444
24,0.9756435,0.058751857927424274,0.6628242135047913,1.5354836169168653
